COUNTRY,ISO CODE,TIME PERIOD,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
Argentina,AR,January - June 2013,2,0%,2,/content/dam/transparency-twitter/flags/1x1/ar.svg,/en/countries/ar.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Australia,AU,January - June 2013,8,25%,58,/content/dam/transparency-twitter/flags/1x1/au.svg,/en/countries/au.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Austria,AT,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/at.svg,/en/countries/at.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Belgium,BE,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/be.svg,/en/countries/be.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Brazil,BR,January - June 2013,22,32%,44,/content/dam/transparency-twitter/flags/1x1/br.svg,/en/countries/br.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Bulgaria,BG,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/bg.svg,/en/countries/bg.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Canada,CA,January - June 2013,12,17%,13,/content/dam/transparency-twitter/flags/1x1/ca.svg,/en/countries/ca.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Denmark,DK,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/dk.svg,/en/countries/dk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Ecuador,EC,January - June 2013,3,100%,3,/content/dam/transparency-twitter/flags/1x1/ec.svg,/en/countries/ec.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
France,FR,January - June 2013,18,11%,35,/content/dam/transparency-twitter/flags/1x1/fr.svg,/en/countries/fr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Germany,DE,January - June 2013,6,17%,6,/content/dam/transparency-twitter/flags/1x1/de.svg,/en/countries/de.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Greece,GR,January - June 2013,8,0%,9,/content/dam/transparency-twitter/flags/1x1/gr.svg,/en/countries/gr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
India,IN,January - June 2013,5,0%,6,/content/dam/transparency-twitter/flags/1x1/in.svg,/en/countries/in.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Indonesia,ID,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/id.svg,/en/countries/id.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Ireland,IE,January - June 2013,1,100%,1,/content/dam/transparency-twitter/flags/1x1/ie.svg,/en/countries/ie.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Israel,IL,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/il.svg,/en/countries/il.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Italy,IT,January - June 2013,22,0%,22,/content/dam/transparency-twitter/flags/1x1/it.svg,/en/countries/it.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Japan,JP,January - June 2013,87,16%,103,/content/dam/transparency-twitter/flags/1x1/jp.svg,/en/countries/jp.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Kuwait,KW,January - June 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/kw.svg,/en/countries/kw.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Mexico,MX,January - June 2013,11,0%,19,/content/dam/transparency-twitter/flags/1x1/mx.svg,/en/countries/mx.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Netherlands,NL,January - June 2013,3,33%,3,/content/dam/transparency-twitter/flags/1x1/nl.svg,/en/countries/nl.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Peru,PE,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/pe.svg,/en/countries/pe.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Philippines,PH,January - June 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ph.svg,/en/countries/ph.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Portugal,PT,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/pt.svg,/en/countries/pt.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Qatar,QA,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/qa.svg,/en/countries/qa.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Saudi Arabia,SA,January - June 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/sa.svg,/en/countries/sa.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Singapore,SG,January - June 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/sg.svg,/en/countries/sg.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
South Korea,KR,January - June 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/kr.svg,/en/countries/kr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
South Sudan,SS,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/ss.svg,/en/countries/ss.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Spain,ES,January - June 2013,13,0%,14,/content/dam/transparency-twitter/flags/1x1/es.svg,/en/countries/es.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Sweden,SE,January - June 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/se.svg,/en/countries/se.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Switzerland,CH,January - June 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ch.svg,/en/countries/ch.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Turkey,TR,January - June 2013,1,0%,4,/content/dam/transparency-twitter/flags/1x1/tr.svg,/en/countries/tr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
United Kingdom,UK,January - June 2013,26,15%,29,/content/dam/transparency-twitter/flags/1x1/gb.svg,/en/countries/uk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
United States,US,January - June 2013,902,67%,"1,319",/content/dam/transparency-twitter/flags/1x1/us.svg,/en/countries/us.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
Venezuela,VE,January - June 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ve.svg,/en/countries/ve.html,/content/transparency-twitter/en/information-requests.html#information-requests-jan-jun-2013
TOTAL,,,"1,157",55%,"1,697",,,
