TIME PERIOD,COUNTRY,ISO CODE,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
January - June 2016,Albania,AL,-,-,-,/content/dam/transparency-twitter/flags/1x1/al.svg,/en/countries/al.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Argentina,AR,18,22%,33,/content/dam/transparency-twitter/flags/1x1/ar.svg,/en/countries/ar.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Australia,AU,34,62%,47,/content/dam/transparency-twitter/flags/1x1/au.svg,/en/countries/au.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Austria,AT,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/at.svg,/en/countries/at.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Bahrain,BH,3*,0%,3,/content/dam/transparency-twitter/flags/1x1/bh.svg,/en/countries/bh.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Bangladesh,BD,-,-,-,/content/dam/transparency-twitter/flags/1x1/bd.svg,/en/countries/bd.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Belgium,BE,67,88%,75,/content/dam/transparency-twitter/flags/1x1/be.svg,/en/countries/be.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Belize,BZ,-,-,-,/content/dam/transparency-twitter/flags/1x1/bz.svg,/en/countries/bz.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Bermuda,BM,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/bm.svg,/en/countries/bm.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Brazil,BR,50,52%,259,/content/dam/transparency-twitter/flags/1x1/br.svg,/en/countries/br.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Bulgaria,BG,-,-,-,/content/dam/transparency-twitter/flags/1x1/bg.svg,/en/countries/bg.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Canada,CA,65,91%,69,/content/dam/transparency-twitter/flags/1x1/ca.svg,/en/countries/ca.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Chile,CL,2*,50%,2,/content/dam/transparency-twitter/flags/1x1/cl.svg,/en/countries/cl.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Colombia,CO,20,10%,32,/content/dam/transparency-twitter/flags/1x1/co.svg,/en/countries/co.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Croatia,HR,-,-,-,/content/dam/transparency-twitter/flags/1x1/hr.svg,/en/countries/hr.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Cyprus,CY,-,-,-,/content/dam/transparency-twitter/flags/1x1/cy.svg,/en/countries/cy.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Czech Republic,CZ,1,0%,2,/content/dam/transparency-twitter/flags/1x1/cz.svg,/en/countries/cz.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Denmark,DK,4,75%,10,/content/dam/transparency-twitter/flags/1x1/dk.svg,/en/countries/dk.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Dominican Republic,DO,2*,0%,2,/content/dam/transparency-twitter/flags/1x1/do.svg,/en/countries/do.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Ecuador,EC,2*,50%,5,/content/dam/transparency-twitter/flags/1x1/ec.svg,/en/countries/ec.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Egypt,EG,-,-,-,/content/dam/transparency-twitter/flags/1x1/eg.svg,/en/countries/eg.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,El Salvador,SV,4,0%,4,/content/dam/transparency-twitter/flags/1x1/sv.svg,/en/countries/sv.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Estonia,EE,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ee.svg,/en/countries/ee.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Finland,FI,1*,100%,1,/content/dam/transparency-twitter/flags/1x1/fi.svg,/en/countries/fi.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,France,FR,572,76%,687,/content/dam/transparency-twitter/flags/1x1/fr.svg,/en/countries/fr.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Germany,DE,111,58%,165,/content/dam/transparency-twitter/flags/1x1/de.svg,/en/countries/de.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Greece,GR,6,33%,7,/content/dam/transparency-twitter/flags/1x1/gr.svg,/en/countries/gr.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Hong Kong,HK,1,0%,1,/content/dam/transparency-twitter/flags/1x1/hk.svg,/en/countries/hk.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,India,IN,139,31%,495,/content/dam/transparency-twitter/flags/1x1/in.svg,/en/countries/in.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Indonesia,ID,6*,67%,6,/content/dam/transparency-twitter/flags/1x1/id.svg,/en/countries/id.html,/en/information-requests.html#information-requests-jan-jun-2016
