TIME PERIOD,COUNTRY,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED
January - June 2019,Albania,-,-,-
January - June 2019,Argentina,27,7%,152
January - June 2019,Australia,22,59%,55
January - June 2019,Austria,3,67%,14
January - June 2019,Bahrain,-,-,-
January - June 2019,Bangladesh,2*,0%,2
January - June 2019,Belgium,23,70%,58
January - June 2019,Belize,-,-,-
January - June 2019,Bermuda,-,-,-
January - June 2019,Bosnia-Herzegovina,3,0%,3
January - June 2019,Brazil,105,10%,197
January - June 2019,Bulgaria,-,-,-
January - June 2019,Canada,45,58%,52
January - June 2019,Chile,16,6%,22
January - June 2019,Colombia,33,0%,33
January - June 2019,Costa Rica,3,0%,3
January - June 2019,Croatia,-,-,-
January - June 2019,Cyprus,1,0%,1
January - June 2019,Czech Republic,4,0%,4
January - June 2019,Denmark,6,33%,8
January - June 2019,Dominican Republic,-,-,-
January - June 2019,Ecuador,1*,0%,2
January - June 2019,Egypt,1*,0%,1
January - June 2019,El Salvador,2,0%,7
January - June 2019,Estonia,2,0%,1
January - June 2019,Finland,4,50%,4
January - June 2019,France,549,56%,808
January - June 2019,Germany,458,18%,691
January - June 2019,Greece,24,4%,25
January - June 2019,Grenada,-,-,-
January - June 2019,Guatemala,3,0%,3
January - June 2019,Honduras,-,-,-
January - June 2019,Hong Kong,3,0%,4
January - June 2019,Hungary,-,-,-
January - June 2019,India,474,5%,"1,268"
January - June 2019,Indonesia,-,0,12
January - June 2019,Iraq,1,0%,1
January - June 2019,Ireland,10,30%,11
January - June 2019,Israel,3*,0,3
January - June 2019,Italy,66,20%,186
January - June 2019,Jamaica,1,100%,1
January - June 2019,Japan,"1,742",52%,"2,445"
January - June 2019,Jordan,1*,0%,1
January - June 2019,Kenya,-,-,-
January - June 2019,Kosovo,1*,0%,1
January - June 2019,Kuwait,4*,25%,4
January - June 2019,Lebanon,-,-,-
January - June 2019,Lithuania,-,-,-
January - June 2019,Luxembourg,-,-,-
January - June 2019,Macedonia,4,0%,8
January - June 2019,Malaysia,1*,0%,1
January - June 2019,Maldives,-,-,-
January - June 2019,Malta,1,0%,1
January - June 2019,Mexico,54,2%,68
January - June 2019,Mongolia,-,-,-
January - June 2019,Montenegro,1*,0%,1
January - June 2019,Nepal,1*,0%,1
January - June 2019,Netherlands,13,69%,27
January - June 2019,New Zealand,3*,67%,4
January - June 2019,Nigeria,2*,0%,2
January - June 2019,Norway,-,-,-
January - June 2019,Oman,-,-,-
January - June 2019,Pakistan,23,0%,70
January - June 2019,Panama,-,-,-
January - June 2019,Paraguay,-,-,-
January - June 2019,Peru,-,-,-
January - June 2019,Philippines,-,-,-
January - June 2019,Poland,56,2%,63
January - June 2019,Portugal,6,33%,8
January - June 2019,Puerto Rico,4,0%,4
January - June 2019,Qatar,-,-,-
January - June 2019,Romania,-,-,-
January - June 2019,Russia,-,-,-
January - June 2019,Saudi Arabia,-,-,-
January - June 2019,Serbia,27,7%,36
January - June 2019,Singapore,17,6%,20
January - June 2019,Slovenia,2,0%,2
January - June 2019,South Korea,132,32%,263
January - June 2019,South Sudan,-,-,-
January - June 2019,Spain,150,33%,280
January - June 2019,Sri Lanka,-,-,-
January - June 2019,Sweden,11,64%,12
January - June 2019,Switzerland,4,25%,4
January - June 2019,Taiwan,-,-,-
January - June 2019,Thailand,-,-,-
January - June 2019,Trinidad and Tobago,-,-,-
January - June 2019,Turkey,350,0%,596
January - June 2019,Ukraine,-,-,-
January - June 2019,United Arab Emirates,2*,0%,2
January - June 2019,United Kingdom,658,67%,810
January - June 2019,United States,"2,120",70%,"4,150"
January - June 2019,Uruguay,-,-,-
January - June 2019,Venezuela,-,-,-
January - June 2019,TOTAL,"7,300",48%,"12,519"
