COUNTRY,ISO CODE,TIME PERIOD,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
Argentina,AR,July - December 2012,2,0%,13,/content/dam/transparency-twitter/flags/1x1/ar.svg,/en/countries/ar.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Australia,AU,July - December 2012,5,20%,5,/content/dam/transparency-twitter/flags/1x1/au.svg,/en/countries/au.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Austria,AT,July - December 2012,-,-,-,/content/dam/transparency-twitter/flags/1x1/at.svg,/en/countries/at.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Belgium,BE,July - December 2012,-,-,-,/content/dam/transparency-twitter/flags/1x1/be.svg,/en/countries/be.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Brazil,BR,July - December 2012,34,12%,43,/content/dam/transparency-twitter/flags/1x1/br.svg,/en/countries/br.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Bulgaria,BG,July - December 2012,-,-,-,/content/dam/transparency-twitter/flags/1x1/bg.svg,/en/countries/bg.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Canada,CA,July - December 2012,15,7%,22,/content/dam/transparency-twitter/flags/1x1/ca.svg,/en/countries/ca.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Denmark,DK,July - December 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/dk.svg,/en/countries/dk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
France,FR,July - December 2012,12,0%,54,/content/dam/transparency-twitter/flags/1x1/fr.svg,/en/countries/fr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Germany,DE,July - December 2012,5,0%,5,/content/dam/transparency-twitter/flags/1x1/de.svg,/en/countries/de.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Greece,GR,July - December 2012,8,0%,15,/content/dam/transparency-twitter/flags/1x1/gr.svg,/en/countries/gr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
India,IN,July - December 2012,5,0%,6,/content/dam/transparency-twitter/flags/1x1/in.svg,/en/countries/in.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Indonesia,ID,July - December 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/id.svg,/en/countries/id.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Ireland,IE,July - December 2012,2,0%,2,/content/dam/transparency-twitter/flags/1x1/ie.svg,/en/countries/ie.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Israel,IL,July - December 2012,1,0%,1,/content/dam/transparency-twitter/flags/1x1/il.svg,/en/countries/il.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
Italy,IT,July - December 2012,3,0%,4,/content/dam/transparency-twitter/flags/1x1/it.svg,/en/countries/it.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2012
