"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld","gdp","region","freedom_score"
"1","Australia",2013,0,2,0,0,0,0,0,2,0,1576184467015.49,"Asia",97
"2","Brazil",2013,20,11,1,39,0,0,40,10,2,2472806456101.29,"Americas",81
"3","Canada",2013,0,1,0,0,0,0,0,1,0,1842018420853.1,"Americas",98
"4","Ecuador",2013,0,1,0,0,0,0,0,1,0,95129659000,"Americas",60
"5","France",2013,33,14,0,12,0,0,12,3,0.99,2811077725703.59,"Europe",95
"6","Germany",2013,75,4,3,0,0,0,3,4,3,3732743446218.92,"Europe",96
"7","Greece",2013,0,0,0,0,0,0,0,0,0,239862011450.103,"Europe",83
"8","India",2013,50,2,0,3,0,0,3,2,1,1856722121394.53,"Asia",76
"9","Indonesia",2013,0,2,0,0,0,0,0,2,0,912524136718.018,"Asia",65
"10","Japan",2013,100,2,0,6,0,0,6,2,2,5155717056270.83,"Asia",88
"11","Netherlands",2013,100,2,0,5,0,0,5,2,2,876923518850.405,"Europe",99
"12","Pakistan",2013,0,0,0,0,0,0,0,0,0,231218567178.979,"Asia",42
"13","Russian Federation",2013,76,17,4,8,0,0,12,17,12.92,2297128039058.21,"Eurasia",27
"14","South Korea",2013,0,1,0,0,0,0,0,1,0,1305604981271.91,"Asia",86
"15","Spain",2013,0,3,0,0,0,0,0,1,0,1354757433212.72,"Europe",96
"16","Turkey",2013,0,30,0,0,0,0,0,7,0,950579413122.56,"Europe",61
"17","United Kingdom",2013,0,2,0,0,0,0,0,2,0,2786022872706.81,"Europe",97
"18","United States",2013,0,11,0,0,0,0,0,2,0,16784849190000,"Americas",93
"19","Venezuela",2013,0,1,0,0,0,0,0,1,0,371005379786.566,"Americas",39
"20","Australia",2014,0,0,0,0,0,0,0,0,0,1467483705131.74,"Asia",97
"21","Brazil",2014,0,14,0,0,0,0,0,8,0,2455994050148.75,"Americas",81
"22","Canada",2014,0,5,0,0,0,0,0,3,0,1801480123070.82,"Americas",98
"23","Colombia",2014,0,1,0,0,0,0,0,1,0,381112119657.445,"Americas",62
"24","Cyprus",2014,0,1,0,0,0,0,0,1,0,23128114786.7676,"Europe",92
"25","Ecuador",2014,0,0,0,0,0,0,0,0,0,101726331000,"Americas",60
"26","France",2014,28,112,0,30,0,0,30,108,30.24,2852165760630.27,"Europe",95
"27","Germany",2014,0,3,0,0,0,0,0,2,0,3883920155292.26,"Europe",96
"28","Greece",2014,0,2,0,0,0,0,0,2,0,237029579260.722,"Europe",83
"29","Hong Kong",2014,0,1,0,0,0,0,0,1,0,291459356985.337,"Asia",67
"30","India",2014,0,9,0,0,0,0,0,5,0,2039127446298.55,"Asia",77
"31","Indonesia",2014,0,0,0,0,0,0,0,0,0,890814755233.225,"Asia",64
"32","Ireland",2014,0,13,0,0,0,0,0,2,0,258471885130.304,"Europe",97
"33","Italy",2014,0,0,0,0,0,0,0,0,0,2159133919743.77,"Europe",90
"34","Japan",2014,25,31,0,24,0,0,24,8,2,4850413536037.84,"Asia",90
"35","Kuwait",2014,0,7,0,0,0,0,0,5,0,162631763879.129,"MENA",39
"36","Mexico",2014,0,0,0,0,0,0,0,0,0,1314563967425.24,"Americas",65
"37","Netherlands",2014,33,3,0,1,0,0,1,3,0.99,890981311077.658,"Europe",99
"38","Norway",2014,0,1,0,0,0,0,0,2,0,498410050251.256,"Europe",100
"39","Pakistan",2014,0,101,0,0,0,0,0,12,0,244360888750.807,"Asia",42
"40","Russian Federation",2014,59,34,8,11,0,0,19,32,18.88,2059984158438.46,"Eurasia",26
"41","South Korea",2014,0,0,0,0,0,0,0,0,0,1411333926201.24,"Asia",85
"42","Spain",2014,0,4,0,0,0,0,0,2,0,1369398844599.58,"Europe",96
"43","Turkey",2014,30,304,17,183,0,0,200,186,55.8,934185915386.096,"Europe",60
"44","United Arab Emirates",2014,0,13,0,0,0,0,0,1,0,403137100068.073,"MENA",21
"45","United Kingdom",2014,6,22,0,2,0,0,2,17,1.02,3063803240208.01,"Europe",97
"46","United States",2014,0,42,0,0,0,0,0,31,0,17521746534000,"Americas",92
"47","Venezuela",2014,0,0,0,0,0,0,0,0,0,482359318767.703,"Americas",38
"48","Argentina",2015,0,0,0,0,0,0,0,0,0,594749285413.212,"Americas",80
"49","Australia",2015,0,0,0,0,0,0,0,0,0,1351693984524.5,"Asia",97
"50","Brazil",2015,38,28,1,403,0,0,404,21,7.98,1802214373741.32,"Americas",81
"51","Canada",2015,0,1,0,0,0,0,0,1,0,1552899925233.71,"Americas",98
"52","Colombia",2015,0,0,0,0,0,0,0,0,0,293481748240.779,"Americas",63
"53","Cyprus",2015,0,0,0,0,0,0,0,0,0,19779150116.4984,"Europe",93
"54","Ecuador",2015,0,0,0,0,0,0,0,0,0,99290381000,"Americas",59
"55","France",2015,7,37,0,2,0,0,2,32,2.24,2438207896251.84,"Europe",95
"56","Germany",2015,86,20,10,6,0,0,16,14,12.04,3360549973888.58,"Europe",96
"57","Greece",2015,0,0,0,0,0,0,0,0,0,196591353761.226,"Europe",83
"58","Hong Kong",2015,0,0,0,0,0,0,0,0,0,309383627028.561,"Asia",65
"59","India",2015,0,65,0,0,0,0,0,33,0,2103587813812.75,"Asia",78
"60","Indonesia",2015,0,878,0,0,0,0,0,3,0,860854235065.079,"Asia",64
"61","Iraq",2015,0,0,0,0,0,0,0,1,0,177498577312.923,"MENA",24
"62","Ireland",2015,0,0,0,0,0,0,0,0,0,291499812103.645,"Europe",97
"63","Italy",2015,0,3,0,0,0,0,0,2,0,1835899237320.04,"Europe",89
"64","Japan",2015,56,186,0,220,0,0,220,16,8.96,4389475622588.97,"Asia",94
"65","Kazakhstan",2015,0,4,0,0,0,0,0,1,0,184388432148.715,"Eurasia",24
"66","Kenya",2015,0,0,0,0,0,0,0,0,0,64007750178.5014,"SSA",51
"67","Kuwait",2015,0,0,0,0,0,0,0,0,0,114567298105.683,"MENA",37
"68","Malaysia",2015,0,1,0,0,0,0,0,1,0,301354756113.174,"Asia",46
"69","Mexico",2015,0,1,0,0,0,0,0,1,0,1170564619927.69,"Americas",64
"70","Mongolia",2015,0,5,0,0,0,0,0,5,0,11749620619.5962,"Asia",86
"71","Netherlands",2015,0,4,0,0,0,0,0,4,0,765264949780.999,"Europe",99
"72","Norway",2015,0,0,0,0,0,0,0,0,0,385801550067.169,"Europe",100
"73","Pakistan",2015,0,60,0,0,0,0,0,6,0,270556131701.171,"Asia",42
