country,region,year,sum_total_requests_made_yr,total_requests_made,freedom_score,sum_accounts_specified_yr
Australia,Asia,2013,2,2,97,2
Brazil,Americas,2013,22,10,81,61
Canada,Americas,2013,1,1,98,1
Ecuador,Americas,2013,1,1,60,1
France,Europe,2013,312,3,95,160
Germany,Europe,2013,6,4,96,5
Greece,Europe,2013,2,0,83,3
India,Asia,2013,10,2,76,56
Indonesia,Asia,2013,2,2,65,2
Japan,Asia,2013,4,2,88,3
Netherlands,Europe,2013,2,2,99,2
Pakistan,Asia,2013,0,0,42,0
Russian Federation,Eurasia,2013,31,17,27,31
South Korea,Asia,2013,1,1,86,1
Spain,Europe,2013,1,1,96,3
Turkey,Europe,2013,9,7,61,32
United Kingdom,Europe,2013,11,2,97,11
United States,Americas,2013,10,2,93,22
Venezuela,Americas,2013,2,1,39,14
Australia,Asia,2014,0,0,97,0
Brazil,Americas,2014,35,8,81,205
Canada,Americas,2014,8,3,98,8
Colombia,Americas,2014,1,1,62,1
Cyprus,Europe,2014,1,1,92,1
Ecuador,Americas,2014,1,0,60,3
France,Europe,2014,143,108,95,150
Germany,Europe,2014,45,2,96,45
Greece,Europe,2014,3,2,83,4
Hong Kong,Asia,2014,1,1,67,1
India,Asia,2014,20,5,77,24
Indonesia,Asia,2014,0,0,64,0
Ireland,Europe,2014,2,2,97,13
Italy,Europe,2014,0,0,90,0
Japan,Asia,2014,27,8,90,57
Kuwait,MENA,2014,7,5,39,9
Mexico,Americas,2014,2,0,65,34
Netherlands,Europe,2014,17,3,99,17
Norway,Europe,2014,2,2,100,1
Pakistan,Asia,2014,16,12,42,125
Russian Federation,Eurasia,2014,123,32,26,125
South Korea,Asia,2014,2,0,85,2
Spain,Europe,2014,3,2,96,6
Turkey,Europe,2014,663,186,60,2946
United Arab Emirates,MENA,2014,1,1,21,13
United Kingdom,Europe,2014,39,17,97,62
United States,Americas,2014,63,31,92,102
Venezuela,Americas,2014,0,0,38,0
Argentina,Americas,2015,0,0,80,0
Australia,Asia,2015,3,0,97,2
Brazil,Americas,2015,39,21,81,135
Canada,Americas,2015,9,1,98,9
Colombia,Americas,2015,3,0,63,3
Cyprus,Europe,2015,0,0,93,0
Ecuador,Americas,2015,16,0,59,20
France,Europe,2015,186,32,95,342
Germany,Europe,2015,24,14,96,30
Greece,Europe,2015,4,0,83,4
Hong Kong,Asia,2015,0,0,65,0
India,Asia,2015,73,33,78,112
Indonesia,Asia,2015,11,3,64,886
Iraq,MENA,2015,1,1,24,0
Ireland,Europe,2015,0,0,97,0
Italy,Europe,2015,6,2,89,7
Japan,Asia,2015,53,16,94,316
Kazakhstan,Eurasia,2015,5,1,24,22
Kenya,SSA,2015,1,0,51,1
Kuwait,MENA,2015,3,0,37,3
Malaysia,Asia,2015,4,1,46,25
Mexico,Americas,2015,1,1,64,1
Mongolia,Asia,2015,116,5,86,116
Netherlands,Europe,2015,9,4,99,10
Norway,Europe,2015,0,0,100,0
Pakistan,Asia,2015,18,6,42,93
Russian Federation,Eurasia,2015,1803,68,23,1951
South Korea,Asia,2015,119,40,84,190
Spain,Europe,2015,8,2,96,7
Turkey,Europe,2015,2929,718,55,10070
United Arab Emirates,MENA,2015,0,0,21,0
United Kingdom,Europe,2015,31,9,97,135
United States,Americas,2015,126,25,92,178
Venezuela,Americas,2015,0,0,35,0
Argentina,Americas,2016,2,0,79,1
Australia,Asia,2016,9,5,98,39
Azerbaijan,Eurasia,2016,13,12,16,12
Bosnia and Herzegovina,Europe,2016,0,0,57,0
Brazil,Americas,2016,87,40,81,286
Canada,Americas,2016,22,11,99,42
Chile,Americas,2016,1,1,95,1
Colombia,Americas,2016,7,4,63,7
Cyprus,Europe,2016,0,0,94,0
Czech Republic,Europe,2016,0,0,95,0
Dominican Republic,Americas,2016,0,0,70,0
Ecuador,Americas,2016,2,1,59,17
Egypt,MENA,2016,0,0,27,0
Finland,Europe,2016,0,0,100,0
France,Europe,2016,1800,466,91,2188
Georgia,Eurasia,2016,2,2,64,2
Germany,Europe,2016,299,63,95,465
