"","X1","X1_2","X1_1","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld"
"1",1,1,1,"France","January - June 2012",0,2,0,0,0,0,0,1,0
"2",2,2,2,"Greece","January - June 2012",0,2,0,0,0,0,0,2,0
"3",3,3,3,"Pakistan","January - June 2012",0,1,0,0,0,0,0,1,0
"4",4,4,4,"Turkey","January - June 2012",0,7,0,0,0,0,0,1,0
"5",5,5,5,"United Kingdom","January - June 2012",0,6,0,0,0,0,0,1,0
"6",6,6,6,"Australia","January - June 2013",0,2,0,0,0,0,0,2,0
"7",7,7,7,"Brazil","January - June 2013",20,11,1,39,0,0,40,10,2
"8",8,8,8,"Canada","January - June 2013",0,1,0,0,0,0,0,1,0
"9",9,9,9,"Ecuador","January - June 2013",0,1,0,0,0,0,0,1,0
"10",10,10,10,"France","January - June 2013",33,14,0,12,0,0,12,3,0.99
"11",11,11,11,"Germany","January - June 2013",75,4,3,0,0,0,3,4,3
"12",12,12,12,"Greece","January - June 2013",0,0,0,0,0,0,0,0,0
"13",13,13,13,"India","January - June 2013",50,2,0,3,0,0,3,2,1
"14",14,14,14,"Indonesia","January - June 2013",0,2,0,0,0,0,0,2,0
"15",15,15,15,"Japan","January - June 2013",100,2,0,6,0,0,6,2,2
"16",16,16,16,"Netherlands","January - June 2013",100,2,0,5,0,0,5,2,2
"17",17,17,17,"Pakistan","January - June 2013",0,0,0,0,0,0,0,0,0
"18",18,18,18,"Russian Federation","January - June 2013",76,17,4,8,0,0,12,17,12.92
"19",19,19,19,"South Korea","January - June 2013",0,1,0,0,0,0,0,1,0
"20",20,20,20,"Spain","January - June 2013",0,3,0,0,0,0,0,1,0
"21",21,21,21,"Turkey","January - June 2013",0,30,0,0,0,0,0,7,0
"22",22,22,22,"United Kingdom","January - June 2013",0,2,0,0,0,0,0,2,0
"23",23,23,23,"United States","January - June 2013",0,11,0,0,0,0,0,2,0
"24",24,24,24,"Venezuela","January - June 2013",0,1,0,0,0,0,0,1,0
"25",25,25,25,"Australia","January - June 2014",0,0,0,0,0,0,0,0,0
"26",26,26,26,"Brazil","January - June 2014",0,14,0,0,0,0,0,8,0
"27",27,27,27,"Canada","January - June 2014",0,5,0,0,0,0,0,3,0
