country,year,sum_percentage_where_content_withheld_yr,gdp,sum_total_requests_made_yr
France,2012,50,2683825225092.63,2
Greece,2012,0,245670666639.047,2
Pakistan,2012,0,224383620829.57,1
Turkey,2012,0,873982246611.954,7
United Kingdom,2012,0,2704887678386.72,7
Australia,2013,0,1576184467015.49,2
Brazil,2013,27.09,2472806456101.29,22
Canada,2013,0,1842018420853.1,1
Ecuador,2013,0,95129659000,1
France,2013,34.98,2811077725703.59,312
Germany,2013,50,3732743446218.92,6
Greece,2013,0,239862011450.103,2
India,2013,20.4,1856722121394.53,10
Indonesia,2013,0,912524136718.018,2
Japan,2013,75,5155717056270.83,4
Netherlands,2013,100,876923518850.405,2
Pakistan,2013,0,231218567178.979,0
Russian Federation,2013,70.58,2297128039058.21,31
South Korea,2013,0,1305604981271.91,1
Spain,2013,0,1354757433212.72,1
Turkey,2013,0,950579413122.56,9
United Kingdom,2013,0,2786022872706.81,11
United States,2013,0,16784849190000,10
Australia,2014,0,1467483705131.74,0
Brazil,2014,23.14,2455994050148.75,35
Canada,2014,0,1801480123070.82,8
Colombia,2014,0,381112119657.445,1
Cyprus,2014,0,23128114786.7676,1
Ecuador,2014,0,101726331000,1
France,2014,31.67,2852165760630.27,143
Germany,2014,35.36,3883920155292.26,45
Greece,2014,0,237029579260.722,3
Hong Kong,2014,0,291459356985.337,1
India,2014,5.25,2039127446298.55,20
Indonesia,2014,0,890814755233.225,0
Ireland,2014,0,258471885130.304,2
Italy,2014,0,2159133919743.77,0
Japan,2014,22.19,4850413536037.84,27
Kuwait,2014,0,162631763879.129,7
Mexico,2014,0,1314563967425.24,2
Netherlands,2014,64.29,890981311077.658,17
Norway,2014,0,498410050251.256,2
Pakistan,2014,0,244360888750.807,16
Russian Federation,2014,24.97,2059984158438.46,123
South Korea,2014,0,1411333926201.24,2
Spain,2014,0,1369398844599.58,3
Turkey,2014,44.39,934185915386.096,663
United Arab Emirates,2014,0,403137100068.073,1
United Kingdom,2014,2.62,3063803240208.01,39
United States,2014,0,17521746534000,63
Argentina,2015,0,594749285413.212,0
Australia,2015,0,1351693984524.5,3
Brazil,2015,30.62,1802214373741.32,39
Canada,2015,0,1552899925233.71,9
Colombia,2015,0,293481748240.779,3
Cyprus,2015,0,19779150116.4984,0
Ecuador,2015,0,99290381000,16
France,2015,16.94,2438207896251.84,186
Germany,2015,58.5,3360549973888.58,24
Greece,2015,0,196591353761.226,4
Hong Kong,2015,0,309383627028.561,0
India,2015,0,2103587813812.75,73
Indonesia,2015,0,860854235065.079,11
Iraq,2015,0,177498577312.923,1
Ireland,2015,0,291499812103.645,0
Italy,2015,0,1835899237320.04,6
Japan,2015,19,4389475622588.97,53
Kazakhstan,2015,0,184388432148.715,5
Kenya,2015,0,64007750178.501404,1
Kuwait,2015,0,114567298105.683,3
Malaysia,2015,0,301354756113.174,4
Mexico,2015,0,1170564619927.69,1
Mongolia,2015,0,11749620619.5962,116
Netherlands,2015,22.22,765264949780.999,9
Norway,2015,0,385801550067.169,0
Pakistan,2015,0,270556131701.171,18
Russian Federation,2015,7.19,1363594369577.82,1803
South Korea,2015,0,1382764027113.82,119
Spain,2015,0,1195119269971.52,8
Turkey,2015,25.7,859796872677.614,2929
United Arab Emirates,2015,0,358135057862.492,0
United Kingdom,2015,3.55,2928591002002.51,31
United States,2015,0,18219297584000,126
Argentina,2016,0,557531376217.967,2
Australia,2016,11.11,1208846993739.99,9
Azerbaijan,2016,0,37867518957.1975,13
Bosnia and Herzegovina,2016,0,16913330693.9653,0
Brazil,2016,11.48,1796275437087.99,87
Canada,2016,0,1526705529135.32,22
Chile,2016,0,250339863130.847,1
Colombia,2016,0,282825009887.458,7
Cyprus,2016,0,20890936462.2537,0
Czech Republic,2016,0,195090272402.729,0
Dominican Republic,2016,0,75704647977.3087,0
Ecuador,2016,0,99937696000,2
Egypt,2016,0,332927833278.038,0
Finland,2016,0,240570297852.344,0
France,2016,19.89,2471285607081.72,1800
Georgia,2016,0,15141758566.7808,2
Germany,2016,35.1,3466790065011.83,299
Greece,2016,0,195222443512.937,4
Hong Kong,2016,0,320860698504.309,0
India,2016,0,2290432075123.75,140
Indonesia,2016,0,931877364177.742,206
Iraq,2016,0,174878976033.941,0
Ireland,2016,14.71,300523297712.96,14
Israel,2016,15.69,318950599017.506,13
Italy,2016,0,1875579883543.09,6
Japan,2016,5.1,4926667087367.51,149
Kazakhstan,2016,0,137278320084.171,4
Kenya,2016,0,69188755511.0911,0
Kuwait,2016,0,109420059582.92,9
Lebanon,2016,0,51239050082.9187,2
Luxembourg,2016,0,60691483443.1221,1
Malaysia,2016,0,301255454041.415,4
Maldives,2016,0,4379136461.83077,1
Mexico,2016,0,1077903618176.07,5
Mongolia,2016,0,11186734674.3847,1
Netherlands,2016,33,783528181704.567,9
New Zealand,2016,0,187854022728.459,5
Norway,2016,0,368827142857.143,1
Pakistan,2016,0,278654637737.69,22
Philippines,2016,0,304897590205.413,5
Russian Federation,2016,15.93,1282723881134.01,2123
Saudi Arabia,2016,0,644935541440,1
Serbia,2016,0,40630392018.541,1
Singapore,2016,0,318068476293.883,2
South Africa,2016,0,296357282715.109,2
South Korea,2016,0,1414804158515.26,73
Spain,2016,2.94,1232076017361.53,34
Sweden,2016,0,515744370225.386,2
Turkey,2016,20.79,863721648068.806,5569
United Arab Emirates,2016,0,357045064669.843,9
United Kingdom,2016,3.82,2694283209613.29,240
United States,2016,0,18707188235000,202
Afghanistan,2017,0,20191764940.1602,0
