"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","gdp"
"1","France","2012",0,2,0,0,0,0,0,1,2683825225092.63
"2","Greece","2012",0,2,0,0,0,0,0,2,245670666639.047
"3","Pakistan","2012",0,1,0,0,0,0,0,1,224383620829.57
"4","Turkey","2012",0,7,0,0,0,0,0,1,873982246611.954
"5","United Kingdom","2012",0,6,0,0,0,0,0,1,2704887678386.72
"6","Australia","2013",0,2,0,0,0,0,0,2,1576184467015.49
"7","Brazil","2013",20,11,1,39,0,0,40,10,2472806456101.29
"8","Canada","2013",0,1,0,0,0,0,0,1,1842018420853.1
"9","Ecuador","2013",0,1,0,0,0,0,0,1,95129659000
"10","France","2013",33,14,0,12,0,0,12,3,2811077725703.59
"11","Germany","2013",75,4,3,0,0,0,3,4,3732743446218.92
"12","Greece","2013",0,0,0,0,0,0,0,0,239862011450.103
"13","India","2013",50,2,0,3,0,0,3,2,1856722121394.53
"14","Indonesia","2013",0,2,0,0,0,0,0,2,912524136718.018
"15","Japan","2013",100,2,0,6,0,0,6,2,5155717056270.83
"16","Netherlands","2013",100,2,0,5,0,0,5,2,876923518850.405
"17","Pakistan","2013",0,0,0,0,0,0,0,0,231218567178.979
"18","Russian Federation","2013",76,17,4,8,0,0,12,17,2297128039058.21
"19","South Korea","2013",0,1,0,0,0,0,0,1,1305604981271.91
"20","Spain","2013",0,3,0,0,0,0,0,1,1354757433212.72
"21","Turkey","2013",0,30,0,0,0,0,0,7,950579413122.56
"22","United Kingdom","2013",0,2,0,0,0,0,0,2,2786022872706.81
"23","United States","2013",0,11,0,0,0,0,0,2,16784849190000
"24","Venezuela","2013",0,1,0,0,0,0,0,1,371005379786.566
"25","Australia","2014",0,0,0,0,0,0,0,0,1467483705131.74
"26","Brazil","2014",0,14,0,0,0,0,0,8,2455994050148.75
"27","Canada","2014",0,5,0,0,0,0,0,3,1801480123070.82
"28","Colombia","2014",0,1,0,0,0,0,0,1,381112119657.445
"29","Cyprus","2014",0,1,0,0,0,0,0,1,23128114786.7676
"30","Ecuador","2014",0,0,0,0,0,0,0,0,101726331000
"31","France","2014",28,112,0,30,0,0,30,108,2852165760630.27
"32","Germany","2014",0,3,0,0,0,0,0,2,3883920155292.26
"33","Greece","2014",0,2,0,0,0,0,0,2,237029579260.722
"34","Hong Kong","2014",0,1,0,0,0,0,0,1,291459356985.337
"35","India","2014",0,9,0,0,0,0,0,5,2039127446298.55
"36","Indonesia","2014",0,0,0,0,0,0,0,0,890814755233.225
"37","Ireland","2014",0,13,0,0,0,0,0,2,258471885130.304
"38","Italy","2014",0,0,0,0,0,0,0,0,2159133919743.77
"39","Japan","2014",25,31,0,24,0,0,24,8,4850413536037.84
"40","Kuwait","2014",0,7,0,0,0,0,0,5,162631763879.129
"41","Mexico","2014",0,0,0,0,0,0,0,0,1314563967425.24
"42","Netherlands","2014",33,3,0,1,0,0,1,3,890981311077.658
"43","Norway","2014",0,1,0,0,0,0,0,2,498410050251.256
"44","Pakistan","2014",0,101,0,0,0,0,0,12,244360888750.807
"45","Russian Federation","2014",59,34,8,11,0,0,19,32,2059984158438.46
"46","South Korea","2014",0,0,0,0,0,0,0,0,1411333926201.24
"47","Spain","2014",0,4,0,0,0,0,0,2,1369398844599.58
"48","Turkey","2014",30,304,17,183,0,0,200,186,934185915386.096
"49","United Arab Emirates","2014",0,13,0,0,0,0,0,1,403137100068.073
"50","United Kingdom","2014",6,22,0,2,0,0,2,17,3063803240208.01
"51","United States","2014",0,42,0,0,0,0,0,31,17521746534000
"52","Venezuela","2014",0,0,0,0,0,0,0,0,482359318767.703
"53","Argentina","2015",0,0,0,0,0,0,0,0,594749285413.212
"54","Australia","2015",0,0,0,0,0,0,0,0,1351693984524.5
"55","Brazil","2015",38,28,1,403,0,0,404,21,1802214373741.32
"56","Canada","2015",0,1,0,0,0,0,0,1,1552899925233.71
"57","Colombia","2015",0,0,0,0,0,0,0,0,293481748240.779
"58","Cyprus","2015",0,0,0,0,0,0,0,0,19779150116.4984
"59","Ecuador","2015",0,0,0,0,0,0,0,0,99290381000
"60","France","2015",7,37,0,2,0,0,2,32,2438207896251.84
"61","Germany","2015",86,20,10,6,0,0,16,14,3360549973888.58
"62","Greece","2015",0,0,0,0,0,0,0,0,196591353761.226
